,Gun,Turret,Spirit
ally_abrams,,,
ally_apollo,,,
ally_bebop,,,
ally_billy,,,
ally_calico,,,
ally_celeste,,,
ally_the_doorman,,,
ally_drifter,,,
ally_dynamo,2,4,
ally_graves,,,
ally_grey_talon,,,
ally_haze,,,
ally_holliday,,,
ally_infernus,,,
ally_ivy,,,2
ally_kelvin,2,3,
ally_lady_geist,,,
ally_lash,,,
ally_mcginnis,,,
ally_mina,,,
ally_mirage,,,
ally_mo_&_krill,,,
ally_paige,,,
ally_paradox,,,
ally_pocket,,,
ally_rem,,,
ally_seven,,2,2
ally_shiv,,,
ally_silver,,,
ally_sinclair,,,
ally_venator,,,
ally_victor,,,
ally_vindicta,,,
ally_viscous,,,
ally_vyper,,,
ally_warden,,3,
ally_wraith,,,
ally_yamato,,,
enemy_abrams,,,
enemy_apollo,,,
enemy_bebop,,-3,
enemy_billy,,,
enemy_calico,,,
enemy_celeste,,,
enemy_the_doorman,,,
enemy_drifter,,,
enemy_dynamo,,,
enemy_graves,,,
enemy_grey_talon,,-2,
enemy_haze,,,
enemy_holliday,,-3,
enemy_infernus,,-2,
enemy_ivy,,-1,
enemy_kelvin,-1,,
enemy_lady_geist,,-2,
enemy_lash,,-2,
enemy_mcginnis,,,
enemy_mina,,,
enemy_mirage,,,
enemy_mo_&_krill,,,
enemy_paige,,,
enemy_paradox,,,
enemy_pocket,,,
enemy_rem,,,
enemy_seven,,-2,-2
enemy_shiv,,,
enemy_silver,,,
enemy_sinclair,,,
enemy_venator,,,
enemy_victor,,,
enemy_vindicta,,-2,
enemy_viscous,-2,,
enemy_vyper,,,
enemy_warden,,,-3
enemy_wraith,,,
enemy_yamato,,,
